ID	Gene Name	Sample_A_1	Sample_A_2	Sample_A_3	Sample_A_4	Sample_A_Mean	Sample_B_1	Sample_B_2	Sample_B_3	Sample_B_4	Sample_B_Mean	log2FC	DEG	t-test p value	transcript	ensembl_id	entrez_id	symbol	biotype_ensembl	description	alias
213	DRD1IP	0.02253243	0.01596853	0.02095242	0.0232942	0.020686895	4.65772334	4.69442929	4.8849576	4.88122231	4.779583135	-7.852023865	Downregulate	0.0000044	NM_015722	ENSG00000130643	50632	CALY	protein_coding	calcyon neuron specific vesicular protein	DRD1IP,CALCYONDRD1IP,NSG3|DRD1IP|CALCYON, NSG3|DRD1IP,NSG3|CALY|DRD1IP,NSG3
214	DCXR	0.33924837	0.35165867	0.34746504	0.35086618	0.347309565	0.49176246	0.49713147	0.51111799	0.50800356	0.50200387	-0.531476343	NonDE	0.000000114	NM_016286	ENSG00000169738	51181	DCXR	protein_coding	dicarbonyl and L-xylulose reductase	KIDCR,DCR,SDR20C1,HCR2,P34H|-|KIDCR, DCR, SDR20C1, HCR2, P34H|DCR,HCR2,HCRII,KIDCR,P34H,PNTSU,SDR20C1,XR|DCXR|DCR,HCR2,HCRII,KIDCR,P34H,PNTSU,SDR20C1,XR
215	GNG13	0.00129098	0.00134387	0.00168189	0.00142946	0.00143655	0.19224996	0.19356374	0.19231245	0.18801421	0.19153509	-7.058856706	Downregulate	0.000000507	NM_016541	ENSG00000127588	51764	GNG13	protein_coding	G protein subunit gamma 13	h2-35,G(gamma)13|-|h2-35, G(gamma)13|G(gamma)13,HG3J,h2-35|GNG13|G(gamma)13,h2-35,HG3J
216	FKBP11	0.1428537	0.13434737	0.14957385	0.14696686	0.143435445	0.00381837	0.00371915	0.00464231	0.00464796	0.004206948	5.091483955	Upregulate	0.0000275	NM_016594	ENSG00000134285	51303	FKBP11	protein_coding	FKBP prolyl isomerase 11	FKBP19|-|FKBP19|FKBP19|FKBP11|FKBP19
217	DKFZp434H2215	0.00048813	0.00055979	0.00094618	0.00044403	0.000609533	0.00274493	0.00109341	0.00228297	0.0013327	0.001863503	-1.612241703	Downregulate	0.021588154	NM_017559	ENSG00000073598	54752	FNDC8	protein_coding	fibronectin type III domain containing 8	DKFZp434H2215|-|DKFZp434H2215|-|FNDC8|
218	FLJ20130	0.08610603	0.08042711	0.08328902	0.08202501	0.082961793	0.00256612	0.00316914	0.00292126	0.0030155	0.002918005	4.829392805	Upregulate	0.00000605	NM_017681	ENSG00000198088	54830	NUP62CL	protein_coding	nucleoporin 62 C-terminal like	FLJ20130|-|FLJ20130|-|NUP62CL|
219	FAM83E	0.00240503	0.0021745	0.00152149	0.00206216	0.002040795	0.00116141	0.00161526	0.00124363	0.00123004	0.001312585	0.636720418	NonDE	0.01428918	NM_017708	ENSG00000105523	54854	FAM83E	protein_coding	family with sequence similarity 83 member E	FLJ20200|-|FLJ20200|-|FAM83E|
220	CASZ1	0.00658201	0.0069335	0.00633788	0.00738247	0.006808965	0.00221315	0.0017843	0.00226811	0.00187373	0.002034823	1.742532565	Upregulate	0.00000157	NM_017766	ENSG00000130940	54897	CASZ1	protein_coding	castor zinc finger 1	FLJ20321,ZNF693,castor,cst,SRG|-|FLJ20321, ZNF693, castor, cst, SRG|CAS11,CST,SRG,ZNF693,dJ734G22.1|CASZ1|CAS11,CST,dJ734G22.1,SRG,ZNF693
221	FLJ20449	0.00488969	0.00503344	0.00521861	0.0051996	0.005085335	0.00255654	0.00225059	0.00282831	0.00268759	0.002580758	0.97854823	NonDE	0.00000246	NM_017826	ENSG00000120669	54937	SOHLH2	protein_coding	spermatogenesis and oogenesis specific basic helix-loop-helix 2	FLJ20449,TEB1,bHLHe81,SPATA28|-|FLJ20449, TEB1, bHLHe81, SPATA28|SOSF2,SPATA28,TEB1,bHLHe81|SOHLH2|bHLHe81,SOSF2,SPATA28,TEB1
222	EPN3	0.00727252	0.00751988	0.00609596	0.00879106	0.007419855	0.01294507	0.01376735	0.01236265	0.01189394	0.012742253	-0.780157432	NonDE	0.000237925	NM_017957	ENSG00000049283	55040	EPN3	protein_coding	epsin 3	FLJ20778,MGC129899|-|FLJ20778, MGC129899|-|EPN3|
223	IARS2	1.21399163	1.24997658	1.21345705	1.21929489	1.224180038	0.46361977	0.47799119	0.46936739	0.5000196	0.477749488	1.357489517	Upregulate	1.06E-09	NM_018060	ENSG00000067704	55699	IARS2	protein_coding	isoleucyl-tRNA synthetase 2, mitochondrial	FLJ10326|-|FLJ10326|CAGSSS,ILERS|IARS2|CAGSSS,ILERS
224	FLJ10374	0.13572585	0.1380959	0.13107195	0.13483451	0.134932053	0.11914705	0.12273479	0.12700697	0.12218362	0.122768108	0.136297266	NonDE	0.00140326	NM_018074	ENSG00000105248	55702	YJU2	protein_coding	YJU2 splicing factor homolog	CCDC94,FLJ10374|CCDC94|FLJ10374|CCDC94|YJU2|CCDC94
225	FLJ10560	0.14256831	0.14946352	0.15330032	0.15360987	0.149735505	0.1438106	0.13650035	0.14472498	0.13729258	0.140582128	0.091003158	NonDE	0.033877734	NM_018138	ENSG00000113838	55171	TBCCD1	protein_coding	TBCC domain containing 1	FLJ10560|-|FLJ10560|-|TBCCD1|
227	FLJ10922	0.06057229	0.05938898	0.06048704	0.05954539	0.059998425	0.04115668	0.04077511	0.0387091	0.04208499	0.04068147	0.560552818	NonDE	0.000000278	NM_018273	ENSG00000161558	55260	TMEM143	protein_coding	transmembrane protein 143	FLJ10922|-|FLJ10922|-|TMEM143|
228	GIMAP5	0.00264829	0.00243705	0.00244424	0.00246775	0.002499333	0.0379716	0.03534092	0.03429645	0.03674763	0.03608915	-3.851950415	Downregulate	0.0000284	NM_018384	ENSG00000196329	55340	GIMAP5	protein_coding	GTPase, IMAP family member 5	IAN4L1,HIMAP3IAN4L1,IAN5|IAN4L1|HIMAP3, IAN5|HIMAP3,IAN-5,IAN4,IAN4L1,IAN5,IMAP3,IROD,NCPH2|GIMAP5|HIMAP3,IAN-5,IAN4,IAN4L1,IAN5,IMAP3,IROD,NCPH2
229	FOXJ2	0.31856811	0.32310905	0.32070635	0.32122477	0.32090207	0.54109972	0.53560206	0.52567336	0.52541254	0.53194692	-0.729149199	NonDE	0.00000511	NM_018416	ENSG00000065970	55810	FOXJ2	protein_coding	forkhead box J2	FHX|-|FHX|FHX|FOXJ2|FHX
230	FLJ11127	0.006803	0.00705771	0.00719567	0.00735714	0.00710338	0.00816531	0.00719219	0.00785106	0.00803276	0.00781033	-0.136877841	NonDE	0.028160667	NM_019018	ENSG00000145569	54491	OTULINL	protein_coding	OTU deubiquitinase with linear linkage specificity like	FAM105A,FLJ11127FAM105A,NET20|FAM105A|FLJ11127, NET20|FAM105A,NET20|OTULINL|FAM105A,NET20
231	GK001	0.49420065	0.47290384	0.53888709	0.51455471	0.505136573	0.46103631	0.43141375	0.4533548	0.43526477	0.445267408	0.182001485	NonDE	0.009059851	NM_020198	ENSG00000108588	57003	CCDC47	protein_coding	coiled-coil domain containing 47	GK001|-|GK001|GK001,MSTP041,THNS|CCDC47|GK001,MSTP041,THNS
234	DAB1	0.00309802	0.00317383	0.00340988	0.00331404	0.003248943	0.04919121	0.05181809	0.04849272	0.05211068	0.050403175	-3.955472499	Downregulate	0.0000146	NM_021080	ENSG00000173406	1600	DAB1	protein_coding	DAB adaptor protein 1	-|-|-|SCA37|DAB1|SCA37
235	FLJ13149	0.19753312	0.20355901	0.2108029	0.19506897	0.201741	0.19925953	0.23127031	0.2487984	0.21755405	0.224220573	-0.152414339	NonDE	0.088442963	NM_021826	ENSG00000215251	60493	FASTKD5	protein_coding	FAST kinase domains 5	FLJ13149|-|FLJ13149|dJ1187M17.5|FASTKD5|dJ1187M17.5
236	FLJ13220	0.24799926	0.24610052	0.2465101	0.2477883	0.247099545	0.21875593	0.22280052	0.21914193	0.2124591	0.21828937	0.178850477	NonDE	0.000598401	NM_021927	ENSG00000151806	60558	GUF1	protein_coding	GTP binding elongation factor GUF1	FLJ13220|-|FLJ13220|DEE40,EF-4,EF4,EIEE40|GUF1|DEE40,EF-4,EF4,EIEE40
237	ELAVL4	0.00331443	0.00330106	0.00366815	0.00272825	0.003252973	0.86186308	0.87746709	0.81032298	0.8366945	0.846586913	-8.02375575	Downregulate	0.0000117	NM_021952	ENSG00000162374	1996	ELAVL4	protein_coding	ELAV like RNA binding protein 4	HUD,PNEM|HUD|PNEM|HUD,PNEM|ELAVL4|HUD,PNEM
238	GAN	0.18101632	0.17145521	0.18341943	0.17422023	0.177527798	0.32975902	0.34781101	0.34980996	0.34205944	0.342359858	-0.947468611	NonDE	7.45E-08	NM_022041	ENSG00000261609	8139	GAN	protein_coding	gigaxonin	GAN1,KLHL16,GIG|-|GAN1, KLHL16, GIG|GAN1,GIG,KLHL16|GAN|GAN1,GIG,KLHL16
239	EPB41L4A	0.018218	0.02100979	0.02029156	0.02317067	0.020672505	0.07561884	0.09155861	0.08495103	0.09110468	0.08580829	-2.053403816	Downregulate	0.00000274	NM_022140	ENSG00000129595	64097	EPB41L4A	protein_coding	erythrocyte membrane protein band 4.1 like 4A	NBL4|-|NBL4|EPB41L4,NBL4|EPB41L4A|EPB41L4,NBL4
241	MOSC1	0.17516115	0.1702765	0.17090673	0.17046974	0.17170353	0.1204826	0.12168959	0.13052264	0.13167405	0.12609222	0.445440437	NonDE	0.00000659	NM_022746	ENSG00000186205	64757	MTARC1	protein_coding	mitochondrial amidoxime reducing component 1	MOSC1,FLJ22390MARC1,FLJ22390|MOSC1, MARC1|FLJ22390|MARC1,MOSC1|MTARC1|MARC1,MOSC1
242	FLJ13855	0.8283046	0.86213081	0.83686523	0.83602259	0.840830808	0.68679454	0.74477557	0.74625397	0.71673657	0.723640163	0.216543049	NonDE	0.000313691	NM_023079	ENSG00000159202	65264	UBE2Z	protein_coding	ubiquitin conjugating enzyme E2 Z	FLJ13855,USE1|-|FLJ13855, USE1|HOYS7,USE1|UBE2Z|HOYS7,USE1
243	GDAP1L1	0.00251089	0.00233392	0.00260887	0.00258079	0.002508618	0.10049127	0.0974627	0.10649297	0.09766186	0.1005272	-5.324549586	Downregulate	0.0000215	NM_024034	ENSG00000124194	78997	GDAP1L1	protein_coding	ganglioside induced differentiation associated protein 1 like 1	-|-|-|dJ881L22.1,dJ995J12.1.1|GDAP1L1|dJ881L22.1,dJ995J12.1.1
244	CUEDC2	0.58358987	0.5693212	0.58282271	0.58402422	0.5799395	1.01936343	1.06394853	1.05269814	1.01636578	1.03809397	-0.839962735	NonDE	2.67E-08	NM_024040	ENSG00000107874	79004	CUEDC2	protein_coding	CUE domain containing 2	C10orf66,MGC2491|C10orf66|MGC2491|C10orf66,bA18I14.5|CUEDC2|bA18I14.5,C10orf66
245	DCC1	0.07336576	0.07018268	0.07551121	0.0751516	0.073552813	0.01284508	0.01167205	0.01324263	0.01261247	0.012593058	2.546151907	Upregulate	5.28E-09	NM_024094	ENSG00000136982	79075	DSCC1	protein_coding	DNA replication and sister chromatid cohesion 1	DCC1,hDCC1,MGC5528|-|DCC1, hDCC1, MGC5528|DCC1|DSCC1|DCC1
246	GLB1L	0.08904321	0.08815627	0.09174044	0.08738212	0.08908051	0.0446814	0.04358886	0.04704041	0.04307698	0.044596913	0.998165984	NonDE	4.05E-08	NM_024506	ENSG00000163521	79411	GLB1L	protein_coding	galactosidase beta 1 like	MGC10771|-|MGC10771|-|GLB1L|
247	FYCO1	0.24345435	0.24501276	0.25009005	0.2427967	0.245338465	0.12140599	0.12549137	0.12514971	0.12660667	0.124663435	0.976735072	NonDE	1.39E-09	NM_024513	ENSG00000163820	79443	FYCO1	protein_coding	FYVE and coiled-coil domain autophagy adaptor 1	FLJ13335,ZFYVE7|-|FLJ13335, ZFYVE7|CATC2,CTRCT18,RUFY3,ZFYVE7|FYCO1|CATC2,CTRCT18,RUFY3,ZFYVE7
248	FLJ12650	0.09051239	0.08902237	0.08969579	0.08529828	0.088632208	0.22991797	0.22986493	0.24364878	0.22574229	0.232293493	-1.390045788	Downregulate	3.48E-08	NM_024522	ENSG00000084628	79570	NKAIN1	protein_coding	sodium/potassium transporting ATPase interacting 1	FAM77C,FLJ12650|FAM77C|FLJ12650|FAM77C|NKAIN1|FAM77C
249	EFTUD1	0.17280195	0.17272199	0.17576398	0.16760253	0.172222613	0.06729447	0.0721094	0.07150413	0.07498688	0.07147372	1.268789795	Upregulate	0.00000001	NM_024580	ENSG00000140598	79631	EFL1	protein_coding	elongation factor like GTPase 1	EFTUD1,FLJ13119EFTUD1,FAM42AEFTUD1,HsT19294EFTUD1,RIA1|EFTUD1|FLJ13119, FAM42A, HsT19294, RIA1|EFTUD1,FAM42A,HsT19294,RIA1,SDS2|EFL1|EFTUD1,FAM42A,HsT19294,RIA1,SDS2
251	FLJ13848	0.21783894	0.2223675	0.23660598	0.23655323	0.228341413	0.13341596	0.13905317	0.13130015	0.1471881	0.137739345	0.729251812	NonDE	0.00000535	NM_024771	ENSG00000110583	79829	NAA40	protein_coding	N-alpha-acetyltransferase 40, NatD catalytic subunit	NAT11,FLJ13848|NAT11|FLJ13848|NAT11,NatD,PATT1,hNatD|NAA40|hNatD,NAT11,NatD,PATT1
252	CSPP	0.32648584	0.34957021	0.32691889	0.33933317	0.335577028	0.31636062	0.32697369	0.31175229	0.32007651	0.318790778	0.074034064	NonDE	0.039445156	NM_024790	ENSG00000104218	79848	CSPP1	protein_coding	centrosome and spindle pole associated protein 1	FLJ22490,CSPP,JBTS21,CSPP-L|-|FLJ22490, CSPP, JBTS21, CSPP-L|CSPP,CSPP-L,JBTS21|CSPP1|CSPP,CSPP-L,JBTS21
253	FLJ12443	1.22334744	1.13988353	1.21175151	1.21196573	1.196737053	0.40920264	0.4136419	0.43957458	0.4484102	0.42770733	1.48441036	Upregulate	3.12E-08	NM_024830	ENSG00000153395	79888	LPCAT1	protein_coding	lysophosphatidylcholine acyltransferase 1	AYTL2,FLJ12443AYTL2,AGPAT9AYTL2,AGPAT10AYTL2,LPLAT8|AYTL2|FLJ12443, AGPAT9, AGPAT10, LPLAT8|AGPAT10,AGPAT9,AYTL2,LPCAT-1,LPLAT8,PFAAP3,lpcat,lysoPAFAT|LPCAT1|AGPAT10,AGPAT9,AYTL2,lpcat,LPCAT-1,lysoPAFAT,PFAAP3
254	FLJ13236	0.06777987	0.06926429	0.07886175	0.07537186	0.072819443	0.01098805	0.0110823	0.01044753	0.01005275	0.010642658	2.774465255	Upregulate	0.000144246	NM_024902	ENSG00000178401	79962	DNAJC22	protein_coding	DnaJ heat shock protein family (Hsp40) member C22	wus,FLJ13236|-|wus, FLJ13236|wus|DNAJC22|wus
255	FLJ21019	0.02220746	0.02618047	0.02581185	0.02834812	0.025636975	0.01360783	0.01273828	0.0142181	0.01525427	0.01395462	0.877483204	NonDE	0.000147443	NM_024927	ENSG00000068137	79990	PLEKHH3	protein_coding	pleckstrin homology, MyTH4 and FERM domain containing H3	FLJ21019|-|FLJ21019|-|PLEKHH3|
256	CCDC15	0.0433211	0.04650431	0.04362335	0.04229371	0.043935618	0.00751683	0.00610657	0.00646297	0.00673283	0.0067048	2.712124767	Upregulate	1.85E-08	NM_025004	ENSG00000149548	80071	CCDC15	protein_coding	coiled-coil domain containing 15	FLJ13215|-|FLJ13215|-|CCDC15|
257	WDR71	0.0528575	0.05799987	0.06318521	0.05811219	0.058038693	0.0749997	0.07699282	0.07883587	0.07871179	0.077385045	-0.415039768	NonDE	0.000150967	NM_025155	ENSG00000175575	80227	PAAF1	protein_coding	proteasomal ATPase associated factor 1	WDR71,FLJ11848WDR71,Rpn14|WDR71|FLJ11848, Rpn14|PAAF,Rpn14,WDR71|PAAF1|PAAF,Rpn14,WDR71
258	ELL3	0.01999551	0.02147166	0.01973453	0.01852759	0.019932323	0.025216	0.02357436	0.02432385	0.02402089	0.024283775	-0.284882889	NonDE	0.000782033	NM_025165	ENSG00000128886	80237	ELL3	protein_coding	elongation factor for RNA polymerase II 3	FLJ22637|-|FLJ22637|-|ELL3|
262	FLJ21901	0.18470347	0.18236808	0.1935434	0.18824744	0.187215598	0.24177748	0.24299364	0.24130911	0.26246866	0.247137223	-0.400611683	NonDE	0.0000422	NM_024622	ENSG00000138399	79675	FASTKD1	protein_coding	FAST kinase domains 1	FLJ21901|-|FLJ21901|-|FASTKD1|
263	FLJ14627	0.00083134	0.00074923	0.00094719	0.00055391	0.000770418	0.00170766	0.00160841	0.00146765	0.00158103	0.001591188	-1.046391468	Downregulate	0.000143763	NM_032814	ENSG00000135119	84900	RNFT2	protein_coding	ring finger protein, transmembrane 2	TMEM118,FLJ14627|TMEM118|FLJ14627|TMEM118|RNFT2|TMEM118
265	DNAJC4	0.42269166	0.4237636	0.40520429	0.40748372	0.414785818	0.27886313	0.28247557	0.28960882	0.27719898	0.282036625	0.556484044	NonDE	0.000000379	NM_005528	ENSG00000110011	3338	DNAJC4	protein_coding	DnaJ heat shock protein family (Hsp40) member C4	HSPF2,MCG18|HSPF2|MCG18|DANJC4,HSPF2,MCG18|DNAJC4|DANJC4,HSPF2,MCG18
267	CRLF3	0.14216851	0.1385397	0.13976352	0.14107368	0.140386353	0.06064901	0.06337344	0.0619613	0.06390347	0.062471805	1.168125573	Upregulate	4.67E-10	NM_015986	ENSG00000176390	51379	CRLF3	protein_coding	cytokine receptor like factor 3	CREME9,CYTOR4|-|CREME9, CYTOR4|CREME-9,CREME9,CRLM9,CYTOR4,FRWS,p48.2|CRLF3|CREME-9,CREME9,CRLM9,CYTOR4,FRWS,p48.2
268	DIRAS2	0.01219902	0.01255715	0.01158918	0.01139781	0.01193579	2.35052491	2.39226374	2.39067379	2.35823294	2.372923845	-7.635227932	Downregulate	0.000000209	NM_017594	ENSG00000165023	54769	DIRAS2	protein_coding	DIRAS family GTPase 2	Di-Ras2,DKFZp761C07121|-|Di-Ras2, DKFZp761C07121|Di-Ras2|DIRAS2|Di-Ras2
269	C1orf113	0.32960469	0.34569423	0.3570597	0.3468838	0.344810605	0.1971557	0.20160827	0.1986218	0.20913427	0.20163001	0.774093765	NonDE	0.000000462	NM_024676	ENSG00000214193	79729	SH3D21	protein_coding	SH3 domain containing 21	C1orf113,FLJ22938|C1orf113|FLJ22938|C1orf113|SH3D21|C1orf113
270	CHMP2B	0.26653521	0.25471657	0.27862402	0.27136005	0.267808963	0.3690687	0.36935247	0.37276887	0.36966517	0.370213803	-0.467154441	NonDE	0.000186663	NM_014043	ENSG00000083937	25978	CHMP2B	protein_coding	charged multivesicular body protein 2B	DKFZP564O123,CHMP2.5,VPS2B|-|DKFZP564O123, CHMP2.5, VPS2B|ALS17,CHMP2.5,DMT1,FTDALS7,VPS2-2,VPS2B|CHMP2B|ALS17,CHMP2.5,DMT1,FTDALS7,VPS2-2,VPS2B
271	DNAJB1	0.98290882	1.04682342	0.99969051	0.98008291	1.002376415	1.08874156	1.09206307	1.1708256	1.15078568	1.125603978	-0.167274957	NonDE	0.003106756	NM_006145	ENSG00000132002	3337	DNAJB1	protein_coding	DnaJ heat shock protein family (Hsp40) member B1	HSPF1,Hsp40HSPF1,Sis1HSPF1,RSPH16B|HSPF1|Hsp40, Sis1, RSPH16B|HSPF1,Hdj1,Hsp40,RSPH16B,Sis1|DNAJB1|Hdj1,Hsp40,HSPF1,RSPH16B,Sis1
273	FLJ20014	0.03867103	0.03896008	0.03970103	0.04284973	0.040045468	0.05980406	0.05085381	0.05506669	0.06292998	0.057163635	-0.513458697	NonDE	0.000908655	NM_017622	ENSG00000196544	54785	BORCS6	protein_coding	BLOC-1 related complex subunit 6	C17orf59,FLJ20014|C17orf59|FLJ20014|C17orf59,PRO2472|BORCS6|C17orf59,PRO2472
276	FBXO39	0.00040596	0.00086358	0.00130516	0.00076081	0.000833878	0.00104929	0.00152343	0.00142372	0.00151714	0.001378395	-0.725082007	NonDE	0.045536653	NM_153230	ENSG00000177294	162517	FBXO39	protein_coding	F-box protein 39	MGC35179,Fbx39,CT144|-|MGC35179, Fbx39, CT144|CT144,FBOX39,Fbx39|FBXO39|CT144,FBOX39,Fbx39
281	FBXL12	0.2090621	0.20614523	0.21276937	0.21298562	0.21024058	0.09700358	0.10510993	0.10806613	0.10429244	0.10361802	1.02076624	Upregulate	0.000000025	NM_017703	ENSG00000127452	54850	FBXL12	protein_coding	F-box and leucine rich repeat protein 12	FLJ20188,Fbl12|-|FLJ20188, Fbl12|Fbl12|FBXL12|Fbl12
284	FXYD7	0.00792658	0.00613702	0.00833044	0.00728299	0.007419258	1.43237187	1.55124073	1.52239684	1.55938922	1.516349665	-7.675111944	Downregulate	0.0000157	NM_022006	ENSG00000221946	53822	FXYD7	protein_coding	FXYD domain containing ion transport regulator 7	-|-|-|-|FXYD7|
285	FLJ20244	0.52512349	0.51681855	0.54363512	0.56669827	0.538068858	0.22181709	0.21550772	0.21856702	0.21845199	0.218585955	1.299590103	Upregulate	0.0000764	NM_017722	ENSG00000104907	55621	TRMT1	protein_coding	tRNA methyltransferase 1	FLJ20244,TRM1|-|FLJ20244, TRM1|MRT68,TRM1|TRMT1|MRT68,TRM1
289	TP53	2.4621278	2.47183999	2.59083135	2.62889672	2.538423965	0.22285458	0.23861371	0.24224733	0.22047575	0.231047843	3.457669524	Upregulate	0.00000996	NM_000546	ENSG00000141510	7157	TP53	protein_coding	tumor protein p53	p53,LFS1|-|p53, LFS1|BCC7,BMFS5,LFS1,P53,TRP53|TP53|BCC7,BMFS5,LFS1,P53,TRP53
290	SLC25A4	0.60615322	0.63363328	0.64165189	0.63960488	0.630260818	3.15351163	3.31838924	3.23968396	3.29995539	3.252885055	-2.367698964	Downregulate	0.00000256	NM_001151	ENSG00000151729	291	SLC25A4	protein_coding	solute carrier family 25 member 4	PEO3,T1PEO2,T1ANT1,T1PEO3,AAC1PEO2,AAC1ANT1,AAC1|PEO3, PEO2, ANT1|T1, AAC1|AAC1,ANT,ANT 1,ANT1,MTDPS12,MTDPS12A,PEO2,PEO3,PEOA2,T1|SLC25A4|AAC1,ANT,ANT 1,ANT1,MTDPS12,MTDPS12A,PEO2,PEO3,PEOA2,T1
292	S100A5	0.00270507	0.00340115	0.00289423	0.00225932	0.002814943	0.00072542	0.00095136	0.00130146	0.00145808	0.00110908	1.34374202	Upregulate	0.00104901	NM_002962	ENSG00000196420	6276	S100A5	protein_coding	S100 calcium binding protein A5	S100D|S100D|-|S100D|S100A5|S100D
293	SCN9A	0.01457939	0.01665516	0.01454156	0.01623984	0.015503988	0.00600058	0.00625395	0.00675092	0.00646442	0.006367468	1.283847717	Upregulate	0.0000039	NM_002977	ENSG00000169432	6335	SCN9A	protein_coding	sodium voltage-gated channel alpha subunit 9	Nav1.7,PN1,NE-an,NEan,ETHA|-|Nav1.7, PN1, NE-NA, NENA, ETHA|ETHA,FEB3B,GEFSP7,HSAN2D,NE-NA,NENA,Nav1.7,PN1,SFNP|SCN9A|ETHA,FEB3B,GEFSP7,HSAN2D,Nav1.7,NE-NA,NENA,PN1,SFNP
294	SCP2	0.29369971	0.29370667	0.2876982	0.29668034	0.29294623	0.38160794	0.396184	0.38260719	0.37607374	0.384118218	-0.390914504	NonDE	0.00000117	NM_002979	ENSG00000116171	6342	SCP2	protein_coding	sterol carrier protein 2	-|-|-|NLTP,NSL-TP,SCOX,SCP-2,SCP-CHI,SCP-X,SCPX|SCP2|NLTP,NSL-TP,SCOX,SCP-2,SCP-CHI,SCP-X,SCPX
297	CLEC3B	0.00270679	0.00250903	0.00252023	0.00253719	0.00256831	0.01305841	0.01399493	0.01235603	0.01255292	0.012990573	-2.338573758	Downregulate	0.000077	NM_003278	ENSG00000163815	7123	CLEC3B	protein_coding	C-type lectin domain family 3 member B	TNA,TN|TNA|TN|MCDR4,TN,TNA|CLEC3B|TN,TNA
298	UBE2B	0.39629822	0.3941017	0.38674068	0.40064304	0.39444591	0.61935467	0.60657972	0.61394359	0.63827257	0.619537638	-0.651364452	NonDE	8.17E-08	NM_003337	ENSG00000119048	7320	UBE2B	protein_coding	ubiquitin conjugating enzyme E2 B	UBC2,HHR6B,RAD6B|-|UBC2, HHR6B, RAD6B|E2-17kDa,HHR6B,HR6B,RAD6B,UBC2|UBE2B|E2-17kDa,HHR6B,HR6B,RAD6B,UBC2
301	TGFBI	0.14590266	0.15028286	0.15578803	0.14709694	0.149767623	0.00495636	0.00529228	0.00472793	0.00492761	0.004976045	4.911582426	Upregulate	0.00000744	NM_000358	ENSG00000120708	7045	TGFBI	protein_coding	transforming growth factor beta induced	CSD3,BIGH3LCD1,BIGH3CSD1,BIGH3CSD2,BIGH3CSD3,CDB1LCD1,CDB1CSD1,CDB1CSD2,CDB1CSD3,CDGG1LCD1,CDGG1CSD1,CDGG1CSD2,CDGG1|CSD3, LCD1, CSD1, CSD2|BIGH3, CDB1, CDGG1|BIGH3,CDB1,CDG2,CDGG1,CSD,CSD1,CSD2,CSD3,EBMD,LCD1|TGFBI|BIGH3,CDB1,CDG2,CDGG1,CSD,CSD1,CSD2,CSD3,EBMD,LCD1
302	TGM1	0.00762297	0.00671969	0.00796862	0.00912564	0.00785923	0.01151102	0.01168761	0.01276366	0.01272645	0.012172185	-0.631128288	NonDE	0.000361755	NM_000359	ENSG00000092295	7051	TGM1	protein_coding	transglutaminase 1	ICR2,TGASEICR2,TGKICR2,LIICR2,LI1|ICR2|TGASE, TGK, LI, LI1|ARCI1,ICR2,KTG,LI,LI1,TGASE,TGK|TGM1|ARCI1,ICR2,KTG,LI,LI1,TGASE,TGK
305	SOD1	2.09900407	2.18194362	2.42977862	2.25612186	2.241712043	3.23359194	3.00943916	3.39190234	3.18216215	3.204273898	-0.515396503	NonDE	0.0000984	NM_000454	ENSG00000142168	6647	SOD1	protein_coding	superoxide dismutase 1	ALS,IPOAALS1,IPOA|ALS, ALS1|IPOA|ALS,ALS1,HEL-S-44,IPOA,SOD,STAHP,hSod1,homodimer|SOD1|ALS,ALS1,HEL-S-44,homodimer,hSod1,IPOA,SOD,STAHP
307	SLC12A2	0.17942866	0.17970797	0.20456236	0.21150623	0.193801305	0.52143577	0.54928138	0.59096414	0.54246465	0.551036485	-1.50756956	Downregulate	0.000000702	NM_001046	ENSG00000064651	6558	SLC12A2	protein_coding	solute carrier family 12 member 2	NKCC1,BSC2,BSC-2,PPP1R141,CCC1|-|NKCC1, BSC2, BSC-2, PPP1R141, CCC1|BSC,BSC-2,BSC2,CCC1,KILQS,NKCC1,PPP1R141|SLC12A2|BSC,BSC2,KILQS,NKCC1,PPP1R141
309	THBS1	0.59295343	0.5988248	0.6090664	0.60533056	0.601543798	0.08208904	0.08078122	0.08631093	0.08446121	0.0834106	2.85036714	Upregulate	9.96E-12	NM_003246	ENSG00000137801	7057	THBS1	protein_coding	thrombospondin 1	TSP1,THBS,TSP,THBS-1,TSP-1|-|TSP1, THBS, TSP, THBS-1, TSP-1|THBS,THBS-1,TSP,TSP-1,TSP1|THBS1|THBS,THBS-1,TSP,TSP-1,TSP1
312	RAD52	0.07140072	0.07306165	0.06790832	0.07446463	0.07170883	0.06838814	0.07103352	0.07321145	0.07442961	0.07176568	-0.0011433	NonDE	0.977555245	NM_134422	ENSG00000002016	5893	RAD52	protein_coding	RAD52 homolog, DNA repair protein	-|-|-|-|RAD52|
313	TRIM21	0.08036194	0.08051449	0.08620442	0.08345463	0.08263387	0.03412559	0.03429275	0.03284265	0.03137343	0.033158605	1.317349922	Upregulate	6.13E-08	NM_003141	ENSG00000132109	6737	TRIM21	protein_coding	tripartite motif containing 21	SSA1,RNF81SSA1,RO52|SSA1|RNF81, RO52|RNF81,RO52,Ro/SSA,SSA,SSA1|TRIM21|RNF81,Ro/SSA,RO52,SSA,SSA1
